Sarkı_Adı,Enstrümantallik,Ortalama_Enerji
Tuto Bay,0.906,0.511
Tighten Up,0.862,0.949
Back At The Boathouse,0.893,0.925
Tomahawk,0.804,0.85
Grazing In The Grass,0.831,0.697
PIMP,0.811,0.858
Plus Plus,0.686,0.722
442,0.921,0.819
The People of the Forest,0.859,0.548
Groovy Flute,0.782,0.845
Samurai,0.824,0.67
Coconut Rock,0.531,0.904
Tierra,0.784,0.577
The Jaunt,0.811,0.58
Touchdown,0.816,0.621
Ossanyn,0.824,0.636
Agua Santa,0.531,0.872
Sugar's Boogaloo,0.577,0.559
Guiding Resolution,0.807,0.638
Jungle Fire,0.925,0.612
"Soul Buster, Pt. 1",0.597,0.968
El Busetero Buscapleitos,0.78,0.87
Ocho Rios,0.847,0.688
Mariô (Instrumental),0.8,0.585
Drum Ting,0.915,0.637
Pipi,0.61,0.609
Burnt Back,0.852,0.903
Frevofoguete,0.903,0.714
Reza Frevo,0.982,0.983
Yo No Se,0.712,0.822
Tiki Fiesta,0.73,0.688
Mango Cool,0.755,0.883
Mix Tel Aviv,0.84,0.688
Mata,0.924,0.496
Comencemos (Let's Start),0.616,0.903
Breezin',0.599,0.476
Omega,0.826,0.876
Rio Grande,0.76,0.605
"Abyssinian Suite, Pt. 4",0.511,0.762
The Demander,0.811,0.785
Funky Amigo,0.796,0.673
Culebro,0.713,0.871
Jealousy,0.558,0.636
Sakonsa,0.851,0.984
Village Hustle,0.816,0.874
The Viking,0.882,0.967
Ewa,0.885,0.884
Black Woman Experience - Mixed,0.933,0.736
Hager Fiker,0.884,0.684
Tiger's Skip,0.821,0.481
Água (Adubada),0.59,0.586
Smoke Gets In...,0.894,0.347
Balboa Dub,0.895,0.831
Como Sabes Tú,0.722,0.926
Chinese New Year,0.857,0.698
Ala Vida,0.906,0.386
Discontinued,0.854,0.73
T.I.B.W.F.,0.87,0.607
Cantarito,0.579,0.783
Represent,0.813,0.513
Chori 95,0.792,0.821
Tender Trap,0.773,0.707
Puerta del sol,0.79,0.856
Eye Nyam Nam 'A' Mensuro - Henrik Schwarz Blend,0.634,0.626
Song for Rollins,0.86,0.577
Upside Down,0.662,0.807
Beautiful Here,0.822,0.675
Nordic Laser,0.896,0.977
I Love Music - Remastered,0.922,0.851
I Faram Gami I Faram - taken from Mulatu Steps Ahead,0.878,0.593
It's What You Do,0.814,0.811
Live From Tigre Lounge,0.886,0.809
Kana Kassy,0.813,0.44
Home Again,0.924,0.732
Quémalo,0.895,0.893
Locataire,0.834,0.872
Gimme Some,0.531,0.976
Skaramouche,0.82,0.917
Bouncing Bona,0.501,0.776
Mansa Fela,0.694,0.881
Not Another Drop (Reprise),0.884,0.752
Cachoeira,0.733,0.707
Expensive Shit,0.667,0.727
African Man,0.795,0.98
Freguês da Meia Noite (Instrumental),0.774,0.379
Graceland,0.911,0.856
Drum Song,0.818,0.412
Ska Fuentes,0.919,0.811
Hot Tamale,0.52,0.399
Voltaren's Dream,0.825,0.765
Safari Strut,0.859,0.862
Look Out Baby (Here I Come) (Bonus Track),0.705,0.984
The Ally,0.911,0.57
Agbara,0.834,0.923
Baba Hya - Remastered,0.88,0.915
Beneath the City of the Monkey God,0.852,0.198
Getting Nasty,0.814,0.551
Tropical Garden,0.886,0.397
Ba-Kuba,0.806,0.658
Freckles,0.802,0.834
Fogo (Adubado),0.881,0.632
Goldmember,0.839,0.954
Soul Fiesta,0.751,0.984
Cigar Time,0.831,0.616
Hypocrite,0.841,0.94
Joy Ride - Night Version,0.781,0.935
Azul,0.56,0.714
Bullet With Butterfly Wings - Remastered 2012,0.838,0.751
Burn The Witch,0.69,0.819
アイ・プット・ア・スペル・オン・ユー,0.513,0.801
I Put A Spell On You,0.513,0.801
You And Me And The Devil Makes 3,0.834,0.964
Sweet Dreams (Are Made Of This),0.657,0.664
Vampires,0.682,0.843
Superbeast,0.561,0.975
About You,0.804,0.762
Soun Tha Mi Primer Amor - Remastered,0.517,0.838
Solo Ideales,0.734,0.392
Unfair,0.784,0.572
Dumb,0.653,0.395
Lazarus,0.661,0.581
Love Will Tear Us Apart,0.695,0.902
Atmosphere,0.514,0.387
Flawless,0.51,0.871
"Call It Fate, Call It Karma",0.774,0.241
Nueve,0.627,0.832
Weird Fishes/ Arpeggi,0.756,0.61
Get Innocuous! - Soulwax Remix,0.744,0.997
Song for Zula,0.536,0.623
Nude,0.579,0.342
Oi :),0.555,0.679
I Don't Wanna Be Me,0.604,0.977
Seven Nation Army - The Glitch Mob Remix,0.626,0.844
Reptilia,0.713,0.649
Delusions of Saviour,0.814,0.805
Arriving Somewhere But Not Here,0.705,0.789
Y La Esperanza,0.826,0.642
Rosa Náutica (Del Piso),0.589,0.849
For the Damaged Coda,0.88,0.47
Don’t Delete The Kisses,0.828,0.789
How to Disappear Completely,0.797,0.302
Me Gusta Ese Tajo,0.793,0.717
Ella Baila Con Todos,0.847,0.797
Transgender,0.847,0.914
Transgender,0.846,0.914
On Melancholy Hill,0.509,0.739
K.,0.846,0.4
Apocalypse,0.572,0.467
Cry,0.678,0.399
Sweet,0.766,0.511
Sunsetz,0.795,0.479
Goodbye,0.646,0.457
Crush,0.757,0.504
Heavenly,0.688,0.437
Touch,0.912,0.5
Affection,0.889,0.417
Keep on Loving You,0.96,0.364
Experience,0.961,0.449
You're All I Want,0.828,0.471
Anchor,0.884,0.407
Each Time You Fall in Love,0.508,0.533
John Wayne,0.884,0.465
Don't Let Me Go,0.501,0.369
Weightless,0.831,0.22
Nuvole Bianche,0.89,0.0582
Atlas,0.952,0.792
Written on the Sky,0.927,0.122
"Where We Belong - From \""Hostiles\"" Soundtrack",0.888,0.135
Primavera,0.856,0.206
Soffia la notte,0.867,0.117
Signals - Remastered 2005,0.944,0.0119
"Recomposed By Max Richter: Vivaldi, The Four Seasons: Spring 1 - 2012",0.93,0.342
"Recomposed By Max Richter: Vivaldi, The Four Seasons: Winter 3 - 2012",0.872,0.259
Glue,0.948,0.7973333333333333
Call Me Joker,0.893,0.319
Young & Dumb,0.7,0.521
Flash,0.831,0.367
Truly,0.565,0.383
You're the Only Good Thing In My Life,0.753,0.287
Candles,0.843,0.148
Opera House,0.837,0.291
Experience,0.956,0.474
From Gold,0.646,0.433
Poison Tree,0.913,0.139
Una Mattina,0.878,0.0297
Colourway,0.856,0.371
"Comptine d'un autre été, l'après-midi",0.908,0.192
On the Nature of Daylight,0.854,0.341
Nuvole Bianche,0.881,0.161
Divenire,0.855,0.217
when the party's over - Slowed Remix,0.912,0.0191
What Gently Flutters,0.903,0.096
"Sinfonia (After Bach, BWV 248)",0.902,0.0293
Ambre,0.947,0.0289
Merry Christmas Mr. Lawrence (Arr. for Piano),0.911,0.185
"Heptapod B - From \""Arrival\"" Soundtrack",0.87,0.445
Piano Trio No. 2 in E Minor: III. Largo,0.647,0.0132
"First Encounter - From \""Arrival\"" Soundtrack",0.963,0.00432
Wrecking Ball - Solo Piano Version,0.934,0.0695
Piano Trio No. 2 in E Minor: II. Allegro con brio,0.811,0.286
Glassworks: Opening,0.915,0.00696
"24 Preludes, Op. 34: No. 14 in E-Flat Minor (Arr. L. Stokowski for Orchestra) [Live]",0.914,0.0442
Music in similar motion,0.924,0.297
"Goodbye - Theme from Dark, a Netflix Original Series",0.571,0.456
Gangtey,0.872,0.242
Glued,0.886,0.349
Chalkboard,0.772,0.109
Where Is My Mind,0.96,0.114
I Just Want You - From 'Castle',0.836,0.18
The Last of Us,0.928,0.468
Pure,0.804,0.211
Clearly,0.955,0.052
Fracture,0.934,0.0186
Emerald and Stone,0.907,0.0379
Hearing,0.942,0.292
The Theory of Everything,0.938,0.118
Spring 1 - 2012,0.903,0.341
Wind Song,0.923,0.00572
Rue des trois frères,0.889,0.169
The Departure,0.94,0.0362
dark tree,0.926,0.113
Indian Yellow,0.946,0.009
"Toujours, jamais - From Les Demoiselles de Rochefort / The Young girls of Rochefort",0.885,0.0939
Mer de velours,0.916,0.232
Hymn,0.875,0.125
Con Moto,0.831,0.366
Dappled Light,0.964,0.0456
Jezus Malusieńki (Reworked by Hania Rani & Dobrawa Czocher),0.934,0.168
There Will Be Hope,0.868,0.211
Gogol,0.935,0.014
White Keys,0.907,0.0568
#3,0.855,0.071
Ronda,0.935,0.307
Longing,0.617,0.552
Epilogue,0.873,0.0875
Table For Two,0.868,0.133
Lucky for You,0.514,0.31
Luminous,0.931,0.00229
Dismantle,0.895,0.136
After Sunset,0.884,0.105
Morning's Wings,0.867,0.487
Ala,0.926,0.116
That Bird of Prey Casts a Long Shadow,0.839,0.188
Reflections,0.902,0.0586
J'y suis jamais allé - From ''Amelie'',0.926,0.192
Monsters Theme,0.917,0.296
A Model of the Universe,0.96,0.044
Distractions,0.945,0.0358
Birdcage,0.637,0.407
Where We Are,0.883,0.147
The Departure,0.943,0.00341
Whitby,0.922,0.0223
Remembrance,0.898,0.131
Weightless Part 1,0.838,0.206
"J'y suis jamais allé - Theme from \""Amelie\""",0.924,0.41
"Dawn - From \""Pride & Prejudice\"" Soundtrack",0.891,0.0525
Dance For Me Wallis,0.907,0.357
Temple White,0.953,0.00958
Taladh Chriosta,0.936,0.0452
Snow,0.94,0.00256
The Heart Asks Pleasure First,0.819,0.172
The Heart Asks Pleasure First,0.779,0.178
MGV (Musique à Grande Vitesse) 1993 (for the inauguration of the TGV North European line): 1st Region,0.815,0.293
MGV (Musique à Grande Vitesse) 1993 (for the inauguration of the TGV North European line): 5th Region,0.745,0.499
Heavenly,0.68,0.431
So Far,0.808,0.339
Curls,0.796,0.348
Éphémère,0.919,0.0217
The Choice,0.89,0.00338
Sweet,0.754,0.507
Seneca,0.608,0.341
Dream 1 (before the wind blows it all away) - Pt. 8,0.946,0.00225
Lux Aeterna,0.905,0.246
Camping,0.926,0.107
The Moment,0.889,0.243
They Move on Tracks of Never-Ending Light,0.836,0.188
Goodness,0.917,0.0551
Butterflies - Piano Sonata,0.911,0.0288
Prélude,0.877,0.0214
Apricots,0.824,0.599
Flying Carpet,0.883,0.526
A Better Place,0.845,0.255
Snow,0.866,0.259
To Feel Again / Trois,0.896,0.873
Forces of Attraction,0.869,0.126
La Valse d'Amélie - Version piano,0.866,0.179
Merry Christmas Mr. Lawrence,0.777,0.175
A Bad Dream That Will Pass Away,0.942,0.0552
Avril 14th,0.871,0.0259
Beneath the Waves,0.923,0.106
saman,0.847,0.0238
An Ending (Ascent) - Remastered 2005,0.985,0.0906
Natural Light,0.951,0.00352
"The Departure (Main title theme from \""The Leftovers\"" - Music from the HBO series)",0.956,0.00656
Rolling Like A Ball,0.919,0.012
I Giorni,0.943,0.0314
K.,0.824,0.405
DUALQ,0.842,0.656
The Last of Us Part II,0.783,0.0457
Her Eyes the Stars,0.946,0.134
Mid Air,0.921,0.0338
Saudade (When We Are Born),0.919,0.0253
Moments of Wonder,0.894,0.221
Ultraviolet,0.873,0.0621
Ala,0.929,0.125
Atlavík,0.797,0.147
Domestic Pressures,0.961,0.133
Opal - Four Tet Remix,0.773,0.72
Wishing,0.942,0.126
Someone Loves Us,0.854,0.00998
Wu Wei,0.565,0.0293
the color of the sky - solo piano,0.902,0.0172
Anything You Synthesize - Ambient,0.94,0.0936
pt. 1 Owl Light,0.852,0.0992
Playground Love,0.731,0.423
I Can Almost See You,0.866,0.523
Ethan's Waltz,0.912,0.147
Sleeping Lotus,0.885,0.0268
La femme d'argent,0.684,0.737
Sexy Boy,0.614,0.652
When Orange is the Sky,0.952,0.0278
Dealing With Destruction - From “Chernobyl” TV Series Soundtrack,0.945,0.044
Evacuation - From “Chernobyl” TV Series Soundtrack,0.977,0.237
Summer Memories,0.925,0.0155
Turbine Hall - From “Chernobyl” TV Series Soundtrack,0.871,0.138
Happiness Does Not Wait,0.85,0.128
Xtal,0.96,0.505
Flora,0.928,0.0661
Waiting for the Engineer - From “Chernobyl” TV Series Soundtrack,0.968,0.272
Bluebird,0.898,0.111
Torne,0.986,0.0383
Bird,0.926,0.188
The Revenant Main Theme,0.762,0.123
Each Time You Fall in Love,0.688,0.533
Pastoral,0.959,0.191
Last Dream Before Sunrise,0.972,0.296
I Make Sparks,0.737,0.37
Ariana,0.897,0.185
Filma Solo,0.869,0.0377
Loom - Sunrise Session II,0.902,0.11
Landscape With a Fairy,0.824,0.291
Kioque,0.921,0.107
Biomes,0.871,0.111
Looking at the World Through a Window,0.967,0.112
"Cambridge, 1963",0.98,0.0878
Ending,0.925,0.207
Living Room,0.901,0.0757
Nothing It Can,0.899,0.245
Birthplace,0.591,0.329
Heavenly Harps,0.953,0.0537
Shamanic Tea - Ajja Remix,0.861,0.941
Alone in Kyoto,0.751,0.366
"Liz On Top Of The World - From \""Pride & Prejudice\"" Soundtrack",0.911,0.117
Together At Last,0.886,0.00824
2.3 Courante,0.856,0.353
Holm Sound,0.88,0.0501
Vladimir's Blues,0.901,0.165
The Haunted Victorian Pencil,0.908,0.0176
Evening Light,0.892,0.0399
Le Onde,0.897,0.154
Papillon - Solo Piano Version,0.905,0.063
Almost June,0.961,0.00708
Run,0.927,0.173
Fly,0.861,0.178
Life,0.904,0.268
Time Lapse,0.809,0.138
Night,0.934,0.179
Divenire,0.864,0.215
"Recomposed By Max Richter: Vivaldi, The Four Seasons: Autumn 3 - 2022",0.965,0.405
"Recomposed By Max Richter: Vivaldi, The Four Seasons: Spring 3 - 2012",0.905,0.302
"Recomposed By Max Richter: Vivaldi, The Four Seasons: Winter 1 - 2012",0.897,0.61
"Recomposed By Max Richter: Vivaldi, The Four Seasons: Summer 3 - 2012",0.844,0.5
Haul (feat. Mohna),0.881,0.207
I Drive,0.937,0.0522
Chasing Light,0.505,0.578
Rainy Nights,0.76,0.379
Éclosion,0.954,0.177
Defeated Clown,0.938,0.238
Why'd You Make Me Cry,0.545,0.297
The Whirling Ways of Stars that Pass,0.97,0.0523
Valse,0.94,0.0335
Sweet Pain,0.642,0.272
Intoxicated,0.537,0.482
Ember,0.833,0.18
Love Letter,0.903,0.018
Red Gold Yesterday,0.852,0.235
Almost Idyllic,0.945,0.11
Bylur,0.931,0.207
QKThr,0.768,0.0223
Walk to School,0.956,0.0368
Salon musique,0.954,0.0427
Bless Those Tired Eyes,0.871,0.198
Olson,0.916,0.0138
Einaudi: Una mattina,0.83,0.0077
The End of Childhood (feat. Jack Liebeck),0.972,0.0445
Near Light,0.949,0.348
Sea Change,0.948,0.00701
Written on the Sky,0.906,0.119
Lionheart,0.922,0.0232
Atoms,0.954,0.00384
Music For Growing Flowers - Pt. 8,0.896,0.0275
Jazz Suite No. 2: VI. Waltz 2,0.902,0.184
Swordfish,0.921,0.00952
Petricor,0.854,0.308
Longing,0.9,0.0208
Éclosion,0.964,0.174
Going Home,0.736,0.504
Bortom Träden,0.85,0.0586
No Fun,0.698,0.151
Losar,0.902,0.0384
Seeming,0.808,0.222
Silver Lining,0.878,0.138
We Contain Multitudes - from home,0.959,0.0333
Spiriteaux,0.878,0.0358
20:17,0.866,0.0224
Compassion,0.917,0.266
Fluttering,0.901,0.144
Sometimes,0.896,0.0839
Meli (II),0.665,0.92
Exquisite Tension,0.604,0.275
"The Secret Life Of Daydreams - From \""Pride & Prejudice\"" Soundtrack",0.747,0.0213
Threnody,0.925,0.00572
"To the Stars - From \""Ad Astra\"" Soundtrack",0.922,0.184
Roygbiv,0.923,0.521
Le Jardin de Monsieur Monet,0.948,0.0431
At Dawn,0.96,0.00313
Dancing Blossoms (Sidereal Remix),0.678,0.64
Dream 1 (before the wind blows it all away) - Pt. 1,0.968,0.00144
My Misty Mornings,0.874,0.217
Late,0.898,0.00533
The Gift,0.915,0.0943
Veloma,0.887,0.12
Alien Observer,0.602,0.0825
The End of All Our Exploring,0.931,0.0249
re:member,0.934,0.336
Underwater,0.951,0.00222
Nobody Knows,0.941,0.00821
Le Onde,0.912,0.131
The Return,0.913,0.00209
Restless,0.74,0.334
Ken Tavr,0.924,0.427
Soft Night,0.931,0.00248
senna's joy (Solo Piano Version),0.928,0.00305
aisatsana [102],0.848,0.01
Ruqia,0.758,0.141
Summer Overture,0.872,0.232
A Sparrow Alighted upon our Shoulder,0.867,0.109
Reminiscence,0.899,0.131
Ró,0.87,0.015
The Dreams that Stuff is Made Of,0.737,0.0854
"Dear, Dolores - Dominique Charpentier Rework",0.894,0.00814
Turning Page (Instrumental),0.903,0.339
Nocturne in Paris,0.896,0.082
The Flying of a Leaf,0.929,0.0706
"Caught In Time, So Far Away",0.924,0.813
Fuoco,0.802,0.0102
Ascent - Day 1,0.941,0.0592
To Speak Of Solitude,0.955,0.047
Ambre,0.943,0.0523
Small Memory,0.959,0.00779
Sparks,0.941,0.0757
In The Androgynous Dark,0.937,0.116
All Numbers End,0.937,0.0438
In This Moment,0.868,0.0132
Supersede,0.838,0.532
I,0.899,0.0896
Everything Flows,0.907,0.157
The Truman Show: Truman Sleeps - Short Version,0.925,0.00361
Waterways,0.68,0.585
H2O,0.93,0.302
We Float,0.968,0.0592
Beyond the Peak,0.842,0.236
Harnen,0.966,0.0109
Duilwen,0.966,0.0128
Longing,0.624,0.551
Latent Dream,0.927,0.0615
If We're Being Honest,0.617,0.432
eau,0.942,0.329
Malibu,0.85,0.154
Do We Wake,0.903,0.0303
The Kingdom,0.787,0.102
Closer To You,0.944,0.0414
The Wedding,0.939,0.231
Alto Paraíso,0.754,0.251
Nocturnal,0.923,0.0153
Forever Distant,0.906,0.136
Ascent,0.906,0.107
Remove The Complexities,0.951,0.116
Re,0.91,0.0743
Glaciers,0.786,0.16
Dream 1 (before the wind blows it all away) - Pt. 4,0.964,0.00212
Elegy For The Arctic - Remastered 2020,0.929,0.0713
Waterfall,0.985,0.933
Le moulin,0.536,0.0559
Weightless Part 3,0.919,0.156
Weightless Part 2,0.889,0.437
"Mrs Darcy - From \""Pride & Prejudice\"" Soundtrack",0.885,0.0733
Who's There,0.944,0.0782
6.6 Gigue,0.71,0.351
"String Quartet No. 3, \""Mishima\"": VI. Mishima / Closing",0.969,0.0382
they sink,0.943,0.0564
Dayvan Cowboy,0.819,0.615
Ascar,0.921,0.0712
Lefnui,0.98,0.0153
The Heart Asks Pleasure First,0.92,0.263
Sirion,0.978,0.43
Glanhir,0.922,0.0471
Four Dimensions,0.857,0.0711
A Present for a Young Traveller,0.842,0.282
Raelee,0.969,0.0357
Wrong Floor,0.938,0.0785
Says,0.898,0.23
Unwind,0.852,0.0203
Haul - Radio Edit,0.862,0.417
Damascus - Solo Piano,0.887,0.29
Among Us,0.958,0.146
All Gone (No Escape),0.947,0.0739
Erase,0.926,0.03
Morning Prayer,0.862,0.0167
Immanuel,0.899,0.293
Slowlife,0.909,0.124
Full Moon (Arr. Lewin for Guitar),0.894,0.00799
Fuori Dal Mondo - Remastered 2020,0.804,0.134
De Usuahia a la Quiaca,0.597,0.389
Elegy,0.95,0.258
Them,0.861,0.212
Nightsky,0.929,0.271
Choros - Remastered 2020,0.757,0.493
Summer Ghost,0.509,0.301
Wildlife Analysis,0.936,0.0204
Dreamland,0.888,0.118
Borrowed Peace,0.909,0.0369
Rearranging Furniture,0.943,0.177
Phase 09 - Sombrero,0.81,0.35
"My Piano, The Clouds",0.953,0.0217
Burning,0.95,0.164
Boyoma,0.84,0.195
Aurora,0.848,0.0949
Jazz Suite No. 2: 6. Waltz II,0.888,0.179
Lamadaya,0.895,0.12
Gurara,0.855,0.112
Keyne,0.602,0.118
Prajna,0.908,0.118
Gelion,0.567,0.215
Isobel,0.928,0.116
Dulce,0.937,0.123
Dalfon,0.903,0.102
Margot,0.904,0.142
Adurant,0.903,0.116
Eneke Najaaba,0.899,0.499
Versailles (Hold) - Edit,0.525,0.375
Lament,0.506,0.211
Impromptu,0.919,0.0177
Rowing,0.961,0.268
amour,0.86,0.212
Unhinged,0.952,0.0345
Wayward Sisters,0.92,0.443
Lion Theme,0.872,0.129
Duvet,0.941,0.16
Eden,0.916,0.183
Dream 1 (before the wind blows it all away) - Pt. 2,0.97,0.00174
"The Living Sculptures Of Pemberley - From \""Pride & Prejudice\"" Soundtrack",0.634,0.0132
Flower Duet - Goldmund Rework,0.944,0.177
Immunity,0.942,0.305
Charms,0.895,0.306
Angel's Flight,0.943,0.28
The Path (A New Beginning),0.95,0.256
Grey Cloud Lullaby,0.965,0.163
Nuvole Bianche - Reimagined by Mercan Dede,0.884,0.342
momentary,0.938,0.00693
"Stars and Butterflies - From \""Pride & Prejudice\"" Soundtrack",0.92,0.0135
Portrait Gallery,0.907,0.0089
Ab Ovo,0.925,0.0429
Andare,0.911,0.19
Adams: Hallelujah Junction: 1st Movement,0.89,0.144
Corale,0.986,0.0332
Truman Sleeps,0.935,0.0797
Meander,0.835,0.117
Veliki,0.91,0.13
Mokau,0.904,0.106
