Sarki_Ismi,Sure_ms
"Here, Right Now",183213
Wonderful Tonight,220507
Salvation,248506
Wilderness,269986
恋人 (Original Version),272773
I Just Called To Say I Love You,189646
Fall on Me,262820
Song To Sing When I'm Lonely,195213
A Drop In the Ocean,228311
Have Yourself a Merry Little Christmas,155792
Message (Original Version),256506
Beautiful In White,240000
Heaven Is a Place on Earth,193333
Passenger Seat (Acoustic),273066
Guaranteed - Humming Version,162309
"Hang Me, Oh Hang Me",190106
The Afterglow,319320
Eat the Meek,237093
The Trouble with Wanting,235586
You Are the Best Thing,231840
Boycott Me!,163666
To Risk to Live,122026
"The Legend of Olog-hai, Pt. 1",165799
No Christmas For Me,160666
This One's for Johnny,195640
Graveyard - Acoustic,254296
bouquet,256361
こころをこめて,297266
Paradise,170125
Better,273026
Laid,182826
Same For You,217373
2U - Acoustic Version,208102
Duet,241120
I'll Say I Do,235000
Anyone,172766
Start of Time,239855
Give Me Your Forever,244800
Heat Waves,141286
There She Goes,145514
Wells,223386
God Only Knows,136542
Afterglow,211358
Burn The Rain,76453
Already Mine,273126
きみはぼくのともだち,268736
Never Be the Same,205658
All Is Well,256680
My Mistake,265386
Near Or Far,219306
Without a Light,142200
Lonely With Me,218813
Time After Time,222250
So Are You To Me,117760
My Arms Were Always Around You,200800
Dance Me to the End of Love - Bonus,185053
Photographs,60413
Baby Now That I Found You,244813
Right Here Waiting,169733
Smokestack Lightnin',188400
Passenger Seat,274480
Feels Like Rain (feat. Bonnie Raitt),275266
Sugar Babe,124400
Blister In The Sun,145706
"Little Blue Pills, Pt. 2",265195
Paano Ang Simbang Gabi - Kung 'Di Ka Katabi,235722
Bob,188952
Psycho,241250
Perfect Government,146129
The Fear,161205
Living My Best Life,215213
Haven't Been Doing So Well,196813
"The Legend of Olog-hai, Pt. 2",184217
You and Me On The Rock (feat. Lucius),230098
Glitch,129472
A Thousand Years - Acoustic,249728
2 Oceans,213055
Golden Hour - Acoustic Piano,168571
Without Me,202219
You & Me (The Wildfire),242347
Dancing With A Stranger,188735
Pero,256648
Good 4 U (Acoustic),174677
And Then You,209583
Here With Me - Acoustic,164478
I'll Be There For You (Friends Theme),138201
Habang Buhay,244067
So Far so Good,198040
More Than Gravity,266078
Fade into You,291676
東京にもあったんだ,382786
あの夏も 海も 空も,322906
21 Guns,243979
Waves,262954
Running Up That Hill (A Deal With God) - Acoustic,168042
Poison's Gone,131800
18 ~eighteen~,326600
Build Me Up Buttercup,166320
Umbrella - Acoustic Version,178319
Home,249386
You're My Home,200893
vs.2013 ~知覚と快楽の螺旋~,292493
I Like Me Better,189673
The Remedy (I Won't Worry),256440
Something Stupid,147809
Hanap-Hanap,246644
The Will To Death,228426
Boulevard of Broken Dreams (Acoustic),207400
Can't Help Falling In Love,188354
Eloise,168712
Help Me,188200
Everytime We Touch (Acoustic),181496
Let It Be Me,280226
Beer,254306
Someone Like You,276146
You've Got a Friend,274720
This Little Light of Mine,159820
Amazing Grace,178573
Remnants of What People Used to Be,175046
Linda Ronstadt,180771
Unsteady - Acoustic Covers Versions of Popular Songs,191052
Heart's Content,214666
The Damned,167466
Hot Knives,252760
Nickel Plated,136815
Peaches - Acoustic,190909
You,218133
Swimmers,181093
Live Like We're Dying,212506
Somebody That I Used To Know,172454
Lost Without You,234046
"One more time, One more chance",330200
you broke me first,190981
Skylight,240449
Game of Thrones,89268
Nothing Like You and I,213453
Wanted Man,235106
Back To You,219976
何度でも花が咲くように私を生きよう,259493
Scared to Be Lonely,222052
Sappy - Early Demo,148573
Ancient Light,244900
I Don't Wanna Live Forever (Fifty Shades Darker) - Acoustic Version,232500
Before You Go,195535
Ships In The Night,255893
Only You,149013
Waver,207933
Missing Peace,238733
聖域,236853
Firework,182744
Such A Simple Thing - Recorded at Sound Stage Studios Nashville,307534
"Sad Theme (From \""One Punch Man\"")",81000
Don't Know What I Want,145720
Call Me,208400
True,287760
I Can't Make You Love Me,243680
Say Anything,236379
All We Are,216933
Gentle Heart,265173
All My Loving (Original Version),245800
アンダルシアに憧れて,358040
想 -new love new world-,280546
Last Christmas,230915
Green Mountain State,274632
Di Papakawalan,244528
Can't Go Back Now,137880
ウイスキーが、お好きでしょ,152100
Ditches,162282
Outside Villanova,255680
Timeline,216894
I'll Never Fall in Love Again,239000
Stray Cat Strut,128731
Goodbye Lulu Pt.2,381910
Days n Daze of Our Lives,196161
8 Track,156533
Ghost - Acoustic,155050
4am,125677
"10,000 Hours - Acoustic",169058
Yellow - Acoustic,196724
No Air,199114
Self Help,156923
Blackbird Song,254615
Easy On Me - Acoustic,222186
Chasing Cars - Acoustic,236298
Can't Take My Eyes Off of You,203024
Fortune - Acoustic,228013
Lot To Learn,226470
Apologize,181596
First & Last,192631
"Cold, Cold Feeling",318840
Sweet Love,267862
Shotgun,174884
HEY!,347200
Have It All,226098
Trouble Sleeping,282133
Beautiful Disaster,251640
Breathe Again,298280
Trouble,241546
Memories,197170
Sink Or Swim,178093
Tama Na,230545
"He's A Pirate (From \""Pirates of the Caribbean\"")",163813
能古島の片想い - Remastered 2018,212080
Bitter Heart,156773
I Want to Know What Love Is - Acoustic,171486
ハンキーパンキー,312133
Ordinary Days,248386
Moon River,291386
Forever Like That,254026
Neighbor,236000
一等賞,133840
音タイム,229533
The Joke,279373
Toulumne,60306
Just The Two Of Us - Acoustic,124742
Arrythmic Palpitations,169000
The Boat,196213
Born Under A Bad Sign - Mono Mix,169997
Nobody Knows Me At All,120720
Bitter Morning Taste,149274
DBS Out,127033
Crazy - (Acoustic Mix),169404
Dungeon Song,202594
Can I Sleep On Your Floor??,125100
Josephine,202400
いきのこり●ぼくら,406103
Careless Whisper,247805
Look After You,191765
Perfect,192397
When the Party's Over,154732
Longest Night,215746
Photograph,218590
Shame,251960
Iris,165223
Running Wild,228387
彼方で,272320
Hazy (Featuring William Fitzsimmons),235960
Let It Go,194129
I Wanna Be Your Ghost (feat. Ghosts),225533
約束の丘,326413
Young And In Love,208226
No Plans,148000
Easy on Me,260040
Tonight You Belong To Me,101539
Closer,178666
One Last Breath,236800
Devil's Backbone,149426
Waltzing Matilda,148127
Girls Chase Boys,221413
The Woman I Love,190751
The Love Me or Die,234600
美しき花,330026
Isn't She Lovely,181466
世界中の誰よりきっと,217466
Black Horse And The Cherry Tree,172373
Drunks,279068
Coming Home,146360
I'm Tore Down,253333
Neighbor (Piano Version),236000
I Will Always Be Yours,226826
Nine on the Bortle,269139
Redemption,288133
Other Side Of The World,214560
Setting Forth,97866
Eulogy,94466
Tarnished Ol' Photograph,148035
Rocksteady,243840
Come on In,204926
Laugh While You Can,168118
Untainted Love,174466
Whiny Bitch,272100
I Wanna See It Burn,157000
I'll Be Home for Christmas,216093
I'll Be Home for Christmas,216093
It's Amazing,220213
How Far Does the Dark Go?,245726
THATS WHAT I WANT (Acoustic),172857
Dynamite - Acoustic,155904
Never Stop (Wedding Version),175200
You're Mine (The Chase),208386
パラレル・ラブ,246786
Let Her Go,219650
So Are We,252640
Shallow,214784
Hold Each Other (feat. Futuristic),216040
別れの予感,274133
I Was Born To Love You,251933
Naked Heart,296653
Days I Will Remember,201506
Smell the Coffee,201861
Unlonely,231266
See You Again,239802
ゆめのなか,247666
More Than You Know - Acoustic Covers of Popular Songs,155510
Nothing Really Matters,164786
Don't Wanna Know - Acoustic Version,183472
Sweetest Thing,218502
A Safe Place to Land (feat. John Legend),269209
Your Song,242880
Billie Jean,259920
Cadillac Assembly Line,318333
Pirates of the Caribbean Theme,98000
全て身に覚えのある痛みだろう?,182306
Life Is A Bitch,219640
オールドルーキー (再録),361693
You and I Both,218240
The Past Recedes,233626
Laro Laro Laro,174124
Stones,250987
Need You,189282
When It's Gone,209606
Heaven Sent,212960
Too Much Heaven,294853
Face the Void,179920
V: Fair Trade Death March,330454
Fate of a Coward,175046
Don't Start Me To Talkin',153653
Angel of Death,174709
Bitter Old Man - Live,258866
You're a Witch,172121
Non Serviam,119946
The Gathering,159640
7 Years,244821
Comfort epershand Control,182204
Demons,245386
愛を伝えたいだとか,235240
FUSHIGI,290000
Bad News Is Coming,445533
I Mean Love,193876
Night Bus,221826
Dark Matter,318439
Doraemon,239933
Landslide,194782
I'd Rather Be With You [Radio Edit],163200
Leave The Door Open - Acoustic,186503
Careful,256760
Use Somebody - Acoustic,172633
She Only Lies,167186
What About Us - Acoustic,255510
Hound Dog,181000
Turn To Stone,276386
Drawn by the Wind (Arr. for Guitar),196487
Don't Shy From The Light,269826
Memories (Acoustic),183337
She’s The Song,217898
When You Fall in Love,221070
I Won’t Give Up,240640
Suitcase,229519
Stitches,140547
I 'll Play the Blues for You,317133
PRIDE,317146
The Power of Love,245160
Arms Of A Woman,251440
Seeing Other People,186143
King of Anything,207493
Lost Cause - Acoustic Covers Versions of Popular Songs,148812
The Weakness in Me,199093
Honey,191973
I Like to Be With Me When I'm With You,230773
No More - Live,270466
On & On,279781
A Million Years,219853
End Of The Road,199880
"It Really Sucked, Actually",89760
The Work,212893
Trenchfoot,236293
Unicron,73066
Issues,185250
Darkest Heart,122600
Letter Home,91893
Control,175336
Fall Out,214099
The Gathering,159019
This Time Tomorrow,206267
Roll Me Through the Gates of Hell - Acoustic Version,233306
SUN,241466
Sweet but Psycho - Acoustic,188712
I'm the One - Acoustic,233488
Magic,245653
Lost,198386
黄金の月,319533
It Would Be You,219066
As It Was - Acoustic Instrumental,139612
Sweet Child O' Mine - Acoustic,178615
Beyond The Sea,119423
Have I Told You Lately That I Love You - Acoustic,201885
Pilots,219653
さくら - 二〇一九,279386
Homeland,222400
The Hardest Thing,200227
Supermarket Flowers,145753
陽はまた昇る,245600
Swans,150346
The Greatest Showman - Rewrite The Stars (Acoustic),214860
Perfect,257390
A Million Dreams - Acoustic,202928
3636,251720
君はロックを聴かない,246306
Tears In Heaven,280652
Paperweight by Joshua Radin and Schuyler Fisk,204333
Meant to Be,186373
Paasa,169315
No Matter Where You Are - Wedding Version,251164
大安,322140
Now We're Starting Over Again,260853
In the Morning,306853
My Babe,162040
What a Time to Be Alive,199866
The Longer I Run,251453
You're Not Sorry - Acoustic Covers Versions of Popular Songs,149783
"Don't Think Twice, It's All Right - Acoustic",210901
Is There Something,306092
Living in the Moment,235080
Other Side Of The World,214560
Torches Are Calling,70506
Close to You,188040
Far Behind,135320
Protest Songs,111641
White Worms,163385
Miranda,240866
Linoleum,88626
God Gave Me You,228960
Perfectly Dysfunctional,207151
Internet Song,162293
Welcome to Hell,158906
Pop Virus,182000
All Too Well - Jake's Version,578064
Dilemma,247683
Miss You,197546
Kiss Me,163913
Teenage Dream,197195
White,210226
All Falls Down,209669
This Is Love,206451
Still Falling For You - Acoustic,252567
I Will Wait,216841
Always Be My Baby,254306
Jocelyn Flores - Acoustic Guitar,59823
Use Somebody - Acoustic Version,186660
As Long as You Love Me,151618
Can't Go Back,227413
The Nights - Acoustic,118878
月ひとしずく,253600
Party of One (feat. Sam Smith),259558
恋の魔力,278613
Take Me Home,257706
ドサ回り数え歌,177613
純風,177666
Fix You,294736
Truth,258271
Jericho,203070
The Weakness In Me,200720
Invincible,286950
Yellow Lines,212373
What a Wonderful World,138748
No More,217400
Spoonful,170000
Over,382474
Body Terror Song,157600
VI: Don't Let Love Bog You Down,221598
What Are You Doing New Years Eve,173546
SOS - Acoustic Covers Versions,149610
The Power of Love,245160
Mosquitoes,163013
High 5,201866
Don't Wanna Be Without Ya,207762
Of Ballots and Barricades - Live,104200
Dirty Little Rag,219219
Day Old Coffee,73501
Clawfoot,168240
Peach,150439
Alone in the Dark Mansion of Madness,403911
Skin Deep (feat. Derek Trucks),268906
We Shall Not Overcome,232815
Northbound,270920
Sombody else - Acoustic,170712
Stuck with U - Acoustic,188181
Havana - Acoustic,141142
Yakap,178947
Sunflower,181897
Hollywood's Bleeding,217777
Without You,179236
Between the Stars,252013
To Whom It May Concern,211360
Issues - Acoustic,189732
花になる,209200
Unconditional,260000
Moth To A Flame - Acoustic Instrumental,181819
Bleeding Love,210186
Light,267306
A Thousand Miles,244173
Darkness Within,252628
Ikaw Lamang,282387
Over You,283266
Stay Right Where You Are,281213
(I Just) Died In Your Arms - Acoustic,211364
Walking By Myself,167266
KISSして,223333
Nintendo,178659
Diamonds,300626
We'll Make It Through,361013
Untainted Innocence,133500
Afterglow - Stephan Baulig Remix,213620
To the Wind,187908
What Love Really Means,236200
PEOPLE GET READY,242001
Lovin' Whiskey,246773
Already Home,230186
Big Time,198136
Canada,126951
Meet Me in the Shade,180000
I Am So Mad at You,104306
Wind in Your Sails,226786
Deathlessness,220832
"Little Blue Pills, Pt..3",149214
Drag Me Down,141176
None Exempt,230691
Going To Germany,154106
Rivers,274133
When I Was Your Man,209530
"Fry, Bacon, Fry (Die Pigs!)",203702
"Dance, Motherfucker, Dance!",197266
In the Midnight Hour (feat. J.J. Grey),159666
Seven Nation Army - Acoustic Covers Versions of Popular Songs,142363
She's a Problem,152053
Mood - Acoustic,161000
Long Drive,230746
Issues,221568
Pink Sky Moon,224666
Hold On,198853
We Don't Talk Anymore,193762
Beautiful Girls,238010
Something Beautiful,236100
Right Here Waiting,248483
Cortes de Aragón,72167
Whenever You're Around,202348
The One That Got Away,247704
With or Without You,166943
深夜高速,326706
She's The Song - Acoustic,233306
生きてることが辛いなら,273480
My Heart,206653
アクセス,263266
Life's What You Make It,186109
Memories (Instrumental Guitar),191506
Duet (feat. Stephanie Briggs),221786
追憶の雨の中 (Original Version),238866
Shallow,213900
I Want It That Way - Acoustic Covers of Popular Songs,136470
明日へゆけ,372600
青空、ひとりきり - Remastered 2018,260893
Someday,235000
All The World (I Tell Myself),273026
Cried Like A Baby,344514
Good Feeling,236840
踊る人たち,305866
Si Te Vas,216584
So Help Me God,257054
To-Do Lists (Color Coded),167999
神無月にかこまれて - Remastered 2018,220213
7 Years,244821
Make It Easy On Yourself,226320
Hollow Man,191552
Waves of Panic,153342
Miranda,240866
"Of Peace, Quiet And Monsters",261000
Little Life,215586
Black Girls,340266
Kick Your Lawyer in the Face,140560
Fast Track,144009
Maria,196226
"Corinna - From \""The Natch'l Blues\""",180920
Tall Cans,186461
You Get What You Give,217293
Four Simple Words,297093
Jireh (My Provider),168000
Ainda Há Tempo,318360
Fellini,171989
Lion Man,205440
Espiral de Ilusão,220800
Yemanjá Chegou,258359
Tô Pra Ver,254520
Terapia,261400
Aló,244933
Vasilhame,172440
Sucrilhos,240226
Chuva Ácida,180000
Breaco,177240
Reza Forte,232826
É o Teste,279720
Pequenina,273973
Milonga de Ojos Dorados (Alfredo Zitarrosa) - Live on Pardelion Music,161342
Até Me Emocionei,175800
Vida Loka I - Live,271840
Demorô,138480
Guerra Batalha,146000
Duas Cidades,226040
Mariô,217400
Só Mais Uma Noite - Live,188666
Pretos Ganhando Dinheiro Incomoda Demais,198920
Samba Sambei,222560
La Makinita,226648
Me Corte na Boca do Céu a Morte Não Pede Perdão,257146
Menino Mimado,227640
Aprendendo a Sobreviver,212826
Tengo Luquita,223600
Primavera (Vai Chuva),244533
A Cada Vento - Live,243373
Detergente,327836
Nas Águas,235560
Plano de Voo,218880
Chiquitita,284875
Freguês da Meia Noite,249600
Hora da Decisão,248520
"Jah Jah Revolta, Pt. 2",309493
Dia da Caça,269986
Fio de Pumo (Padê Onã),249960
Pegue Pra Ela,265200
Filha do Maneco,105360
Cria de Favela,171480
Boca Fofa,140280
Calçada,206760
Zica Vai Lá - Live,238346
Subirusdoistiozin - Live,211280
Darker Shade of Black,194293
Meghar Jolonga,205597
Queens Highway,67720
Etérea,253097
Cabeça de Papel,149720
Invisível,195040
"Lambada de Oceanía, África y América",246613
Fogo (Versão Estendida),250354
Nauliza,220670
Mediterráneo,206999
Me Dê Motivo,267853
Sonar (Adubado),174538
Forasteiro,210373
Oxidados,148000
À Beça,321351
Sueño Erótico,242373
"Negro Amor (It's All Over Now, Baby Clue)",246568
Povo Guerreiro,219071
Navio,339413
No Sapatinho,303120
São Jorge,214177
O Segundo Sol,148905
Amar Es Algo Más,426306
Redoma,156733
Viva (Melô Dos Vileiros) - Live,213960
Samba Sambei (Dub Mix),220653
CertoPeloCertoh,165160
Fat City Strut,199360
"Fé Cega, Faca Amolada",261552
La Bala,213680
Chocolate,181013
Mariô - Live,267480
Demorô - Live,213773
Panela,173413
Reza Forte,232293
Human Disco Ball,214960
Bala na Agulha,247000
La Jardinera,222408
Makoti,274933
Nontsokolo,356333
Soul Makossa,265586
Triunfo - Live,273426
Grajauex - Live,191453
District Six - Live,527506
Não Existe Amor Em SP - Live,392480
Women Of The Sun,334520
Bogotá - Live,369773
Black Organ,191506
Dikalo - Remix 97,247626
District Six - Live,527506
Stop That Train,336933
Atrévete-Te-Te,239306
Shimmy Shimmy Ya,145880
Ruby,355840
4 da Manhã – Deluxe Edition,213480
Água (Versão Estendida),306750
Organdí,400362
Sólo los dos (feat. Ferraz),210870
Tô pra Onda,235567
Eres Mis Ganas,315600
Bienvenidos A Mi Mundo,237026
Tá Amarrado,232826
Agente Russo,311453
Alfazema,199095
Crece,190600
Alegria por un Zumo de Naranja Con Panela,213992
Cóccix-ência,289947
Dulce,303213
Ride On Baby - 1977 Version,390280
La nieve en la bola de nieve,295866
Raminho,78880
"Oxe, Como Era Doce",247226
Uno,169066
Ode To Mauricio Garces,254080
Aquiles por su talón es Aquiles,214253
Madurar,241322
Te Lo Juro Por Madonna (Si Omba Ta Gueno),179840
A Vida É Curta Pra Viver Depois,217866
Bungaloo Punta Cometa,239920
Dança de Airumã,227573
"Barravenida, Pt. 2",392638
Desengano da Vista,406573
Flores Raras,267997
